date,account_code,account_name,debit_paise,credit_paise,narration,reference
2025-02-11,1100,Bank,5181985,0,bank credit,crd_002_acc_01_2025-02-11_dup
2025-02-11,2300,Unreconciled settlements,0,5181985,unreconciled,crd_002_acc_01_2025-02-11_dup
2025-02-11,1100,Bank,6536400,0,bank credit,crd_003_acc_00_2025-02-11
2025-02-11,2300,Unreconciled settlements,0,6536400,unreconciled,crd_003_acc_00_2025-02-11
2025-02-11,1100,Bank,4820617,0,bank credit,crd_003_acc_01_2025-02-11
2025-02-11,2300,Unreconciled settlements,0,4820617,unreconciled,crd_003_acc_01_2025-02-11
2025-02-12,1100,Bank,6500958,0,bank credit,crd_001_acc_00_2025-02-12
2025-02-12,2300,Unreconciled settlements,0,6500958,unreconciled,crd_001_acc_00_2025-02-12
2025-02-12,1100,Bank,7548788,0,bank credit,crd_001_acc_01_2025-02-12
2025-02-12,2300,Unreconciled settlements,0,7548788,unreconciled,crd_001_acc_01_2025-02-12
2025-02-12,1100,Bank,5060203,0,bank credit,crd_002_acc_00_2025-02-12
2025-02-12,2300,Unreconciled settlements,0,5060203,unreconciled,crd_002_acc_00_2025-02-12
2025-02-12,1100,Bank,5820326,0,bank credit,crd_002_acc_01_2025-02-12
2025-02-12,2300,Unreconciled settlements,0,5820326,unreconciled,crd_002_acc_01_2025-02-12
2025-02-12,1100,Bank,7010668,0,bank credit,crd_003_acc_00_2025-02-12
2025-02-12,2300,Unreconciled settlements,0,7010668,unreconciled,crd_003_acc_00_2025-02-12
2025-02-12,1100,Bank,5171409,0,bank credit,crd_003_acc_01_2025-02-12
2025-02-12,2300,Unreconciled settlements,0,5171409,unreconciled,crd_003_acc_01_2025-02-12
2025-02-12,1100,Bank,5171409,0,bank credit,crd_003_acc_01_2025-02-12_dup
2025-02-12,2300,Unreconciled settlements,0,5171409,unreconciled,crd_003_acc_01_2025-02-12_dup
2025-02-13,1100,Bank,5363178,0,bank credit,crd_001_acc_00_2025-02-13
2025-02-13,2300,Unreconciled settlements,0,5363178,unreconciled,crd_001_acc_00_2025-02-13
2025-02-13,1100,Bank,4828945,0,bank credit,crd_001_acc_01_2025-02-13
2025-02-13,2300,Unreconciled settlements,0,4828945,unreconciled,crd_001_acc_01_2025-02-13
2025-02-13,1100,Bank,5947939,0,bank credit,crd_002_acc_00_2025-02-13
2025-02-13,2300,Unreconciled settlements,0,5947939,unreconciled,crd_002_acc_00_2025-02-13
2025-02-13,1100,Bank,9018416,0,bank credit,crd_002_acc_01_2025-02-13
2025-02-13,2300,Unreconciled settlements,0,9018416,unreconciled,crd_002_acc_01_2025-02-13
2025-02-13,1100,Bank,6417024,0,bank credit,crd_003_acc_00_2025-02-13
2025-02-13,2300,Unreconciled settlements,0,6417024,unreconciled,crd_003_acc_00_2025-02-13
2025-02-13,1100,Bank,5512352,0,bank credit,crd_003_acc_01_2025-02-13
2025-02-13,2300,Unreconciled settlements,0,5512352,unreconciled,crd_003_acc_01_2025-02-13
2025-02-14,1100,Bank,5614148,0,bank credit,crd_001_acc_00_2025-02-14
2025-02-14,2300,Unreconciled settlements,0,5614148,unreconciled,crd_001_acc_00_2025-02-14
2025-02-14,1100,Bank,5463584,0,bank credit,crd_001_acc_01_2025-02-14
2025-02-14,2300,Unreconciled settlements,0,5463584,unreconciled,crd_001_acc_01_2025-02-14
2025-02-14,1100,Bank,5182859,0,bank credit,crd_002_acc_00_2025-02-14
2025-02-14,2300,Unreconciled settlements,0,5182859,unreconciled,crd_002_acc_00_2025-02-14
2025-02-14,1100,Bank,7385271,0,bank credit,crd_002_acc_01_2025-02-14
2025-02-14,2300,Unreconciled settlements,0,7385271,unreconciled,crd_002_acc_01_2025-02-14
2025-02-14,1100,Bank,6833546,0,bank credit,crd_003_acc_00_2025-02-14
2025-02-14,2300,Unreconciled settlements,0,6833546,unreconciled,crd_003_acc_00_2025-02-14
2025-02-14,1100,Bank,6269702,0,bank credit,crd_003_acc_01_2025-02-14
2025-02-14,2300,Unreconciled settlements,0,6269702,unreconciled,crd_003_acc_01_2025-02-14
2025-02-17,1100,Bank,6706490,0,bank credit,crd_001_acc_00_2025-02-17
2025-02-17,2300,Unreconciled settlements,0,6706490,unreconciled,crd_001_acc_00_2025-02-17
2025-02-17,1100,Bank,6566477,0,bank credit,crd_001_acc_01_2025-02-17
2025-02-17,2300,Unreconciled settlements,0,6566477,unreconciled,crd_001_acc_01_2025-02-17
2025-02-17,1100,Bank,4551142,0,bank credit,crd_002_acc_00_2025-02-17
2025-02-17,2300,Unreconciled settlements,0,4551142,unreconciled,crd_002_acc_00_2025-02-17
2025-02-17,1100,Bank,7036394,0,bank credit,crd_002_acc_01_2025-02-17
2025-02-17,2300,Unreconciled settlements,0,7036394,unreconciled,crd_002_acc_01_2025-02-17
2025-02-17,1100,Bank,5533266,0,bank credit,crd_003_acc_00_2025-02-17
2025-02-17,2300,Unreconciled settlements,0,5533266,unreconciled,crd_003_acc_00_2025-02-17
2025-02-17,1100,Bank,7034544,0,bank credit,crd_003_acc_01_2025-02-17
2025-02-17,2300,Unreconciled settlements,0,7034544,unreconciled,crd_003_acc_01_2025-02-17
2025-02-18,1100,Bank,5579352,0,bank credit,crd_001_acc_00_2025-02-18
2025-02-18,2300,Unreconciled settlements,0,5579352,unreconciled,crd_001_acc_00_2025-02-18
2025-02-18,1100,Bank,6269145,0,bank credit,crd_001_acc_01_2025-02-18
2025-02-18,2300,Unreconciled settlements,0,6269145,unreconciled,crd_001_acc_01_2025-02-18
2025-02-18,1100,Bank,7015110,0,bank credit,crd_002_acc_00_2025-02-18
2025-02-18,2300,Unreconciled settlements,0,7015110,unreconciled,crd_002_acc_00_2025-02-18
2025-02-18,1100,Bank,6928001,0,bank credit,crd_002_acc_01_2025-02-18
2025-02-18,2300,Unreconciled settlements,0,6928001,unreconciled,crd_002_acc_01_2025-02-18
2025-02-18,1100,Bank,7012520,0,bank credit,crd_003_acc_00_2025-02-18
2025-02-18,2300,Unreconciled settlements,0,7012520,unreconciled,crd_003_acc_00_2025-02-18
2025-02-18,1100,Bank,7012520,0,bank credit,crd_003_acc_00_2025-02-18_dup
2025-02-18,2300,Unreconciled settlements,0,7012520,unreconciled,crd_003_acc_00_2025-02-18_dup
2025-02-18,1100,Bank,6183361,0,bank credit,crd_003_acc_01_2025-02-18
2025-02-18,2300,Unreconciled settlements,0,6183361,unreconciled,crd_003_acc_01_2025-02-18
2025-02-19,1100,Bank,6620334,0,bank credit,crd_001_acc_00_2025-02-19
2025-02-19,2300,Unreconciled settlements,0,6620334,unreconciled,crd_001_acc_00_2025-02-19
2025-02-19,1100,Bank,6882500,0,bank credit,crd_002_acc_00_2025-02-19
2025-02-19,2300,Unreconciled settlements,0,6882500,unreconciled,crd_002_acc_00_2025-02-19
2025-02-19,1100,Bank,8004270,0,bank credit,crd_002_acc_01_2025-02-19
2025-02-19,2300,Unreconciled settlements,0,8004270,unreconciled,crd_002_acc_01_2025-02-19
2025-02-19,1100,Bank,7249976,0,bank credit,crd_003_acc_00_2025-02-19
2025-02-19,2300,Unreconciled settlements,0,7249976,unreconciled,crd_003_acc_00_2025-02-19
2025-02-19,1100,Bank,8649088,0,bank credit,crd_003_acc_01_2025-02-19
2025-02-19,2300,Unreconciled settlements,0,8649088,unreconciled,crd_003_acc_01_2025-02-19
2025-02-20,1100,Bank,5787568,0,bank credit,crd_001_acc_00_2025-02-20
2025-02-20,2300,Unreconciled settlements,0,5787568,unreconciled,crd_001_acc_00_2025-02-20
2025-02-20,1100,Bank,6491333,0,bank credit,crd_001_acc_01_2025-02-19
2025-02-20,2300,Unreconciled settlements,0,6491333,unreconciled,crd_001_acc_01_2025-02-19
2025-02-20,1100,Bank,7368427,0,bank credit,crd_001_acc_01_2025-02-20
2025-02-20,2300,Unreconciled settlements,0,7368427,unreconciled,crd_001_acc_01_2025-02-20
2025-02-20,1100,Bank,5753790,0,bank credit,crd_002_acc_00_2025-02-20
2025-02-20,2300,Unreconciled settlements,0,5753790,unreconciled,crd_002_acc_00_2025-02-20
2025-02-20,1100,Bank,6364739,0,bank credit,crd_002_acc_01_2025-02-20
2025-02-20,2300,Unreconciled settlements,0,6364739,unreconciled,crd_002_acc_01_2025-02-20
2025-02-20,1100,Bank,5879089,0,bank credit,crd_003_acc_00_2025-02-20
2025-02-20,2300,Unreconciled settlements,0,5879089,unreconciled,crd_003_acc_00_2025-02-20
2025-02-20,1100,Bank,5705485,0,bank credit,crd_003_acc_01_2025-02-20
2025-02-20,2300,Unreconciled settlements,0,5705485,unreconciled,crd_003_acc_01_2025-02-20
2025-02-21,1100,Bank,4589637,0,bank credit,crd_001_acc_00_2025-02-21
2025-02-21,2300,Unreconciled settlements,0,4589637,unreconciled,crd_001_acc_00_2025-02-21
2025-02-21,1100,Bank,5963024,0,bank credit,crd_001_acc_01_2025-02-21
2025-02-21,2300,Unreconciled settlements,0,5963024,unreconciled,crd_001_acc_01_2025-02-21
2025-02-21,1100,Bank,6892031,0,bank credit,crd_002_acc_00_2025-02-21
2025-02-21,2300,Unreconciled settlements,0,6892031,unreconciled,crd_002_acc_00_2025-02-21
2025-02-21,1100,Bank,4926113,0,bank credit,crd_002_acc_01_2025-02-21
2025-02-21,2300,Unreconciled settlements,0,4926113,unreconciled,crd_002_acc_01_2025-02-21
2025-02-21,1100,Bank,6633845,0,bank credit,crd_003_acc_00_2025-02-21
2025-02-21,2300,Unreconciled settlements,0,6633845,unreconciled,crd_003_acc_00_2025-02-21
2025-02-21,1100,Bank,5283779,0,bank credit,crd_003_acc_01_2025-02-21
2025-02-21,2300,Unreconciled settlements,0,5283779,unreconciled,crd_003_acc_01_2025-02-21
2025-02-24,1100,Bank,7310406,0,bank credit,crd_001_acc_00_2025-02-24
2025-02-24,2300,Unreconciled settlements,0,7310406,unreconciled,crd_001_acc_00_2025-02-24
2025-02-24,1100,Bank,7348532,0,bank credit,crd_001_acc_01_2025-02-24
2025-02-24,2300,Unreconciled settlements,0,7348532,unreconciled,crd_001_acc_01_2025-02-24
2025-02-24,1100,Bank,7832979,0,bank credit,crd_002_acc_00_2025-02-24
2025-02-24,2300,Unreconciled settlements,0,7832979,unreconciled,crd_002_acc_00_2025-02-24
2025-02-24,1100,Bank,7807992,0,bank credit,crd_002_acc_01_2025-02-24
2025-02-24,2300,Unreconciled settlements,0,7807992,unreconciled,crd_002_acc_01_2025-02-24
2025-02-24,1100,Bank,5608224,0,bank credit,crd_003_acc_00_2025-02-24
2025-02-24,2300,Unreconciled settlements,0,5608224,unreconciled,crd_003_acc_00_2025-02-24
2025-02-24,1100,Bank,7167339,0,bank credit,crd_003_acc_01_2025-02-24
2025-02-24,2300,Unreconciled settlements,0,7167339,unreconciled,crd_003_acc_01_2025-02-24
2025-02-25,1100,Bank,5305715,0,bank credit,crd_001_acc_00_2025-02-25
2025-02-25,2300,Unreconciled settlements,0,5305715,unreconciled,crd_001_acc_00_2025-02-25
2025-02-25,1100,Bank,7313922,0,bank credit,crd_002_acc_00_2025-02-25
2025-02-25,2300,Unreconciled settlements,0,7313922,unreconciled,crd_002_acc_00_2025-02-25
2025-02-25,1100,Bank,6426278,0,bank credit,crd_002_acc_01_2025-02-25
2025-02-25,2300,Unreconciled settlements,0,6426278,unreconciled,crd_002_acc_01_2025-02-25
2025-02-25,1100,Bank,6736934,0,bank credit,crd_003_acc_00_2025-02-25
2025-02-25,2300,Unreconciled settlements,0,6736934,unreconciled,crd_003_acc_00_2025-02-25
2025-02-25,1100,Bank,5297133,0,bank credit,crd_003_acc_01_2025-02-25
2025-02-25,2300,Unreconciled settlements,0,5297133,unreconciled,crd_003_acc_01_2025-02-25
2025-02-26,1100,Bank,8197030,0,bank credit,crd_001_acc_00_2025-02-26
2025-02-26,2300,Unreconciled settlements,0,8197030,unreconciled,crd_001_acc_00_2025-02-26
2025-02-26,1100,Bank,6678542,0,bank credit,crd_001_acc_01_2025-02-25
2025-02-26,2300,Unreconciled settlements,0,6678542,unreconciled,crd_001_acc_01_2025-02-25
2025-02-26,1100,Bank,6186136,0,bank credit,crd_001_acc_01_2025-02-26
2025-02-26,2300,Unreconciled settlements,0,6186136,unreconciled,crd_001_acc_01_2025-02-26
2025-02-26,1100,Bank,5696693,0,bank credit,crd_002_acc_00_2025-02-26
2025-02-26,2300,Unreconciled settlements,0,5696693,unreconciled,crd_002_acc_00_2025-02-26
2025-02-26,1100,Bank,6500866,0,bank credit,crd_002_acc_01_2025-02-26
2025-02-26,2300,Unreconciled settlements,0,6500866,unreconciled,crd_002_acc_01_2025-02-26
2025-02-26,1100,Bank,5794890,0,bank credit,crd_003_acc_00_2025-02-26
2025-02-26,2300,Unreconciled settlements,0,5794890,unreconciled,crd_003_acc_00_2025-02-26
2025-02-26,1100,Bank,6001519,0,bank credit,crd_003_acc_01_2025-02-26
2025-02-26,2300,Unreconciled settlements,0,6001519,unreconciled,crd_003_acc_01_2025-02-26
2025-02-27,1100,Bank,7543536,0,bank credit,crd_001_acc_00_2025-02-27
2025-02-27,2300,Unreconciled settlements,0,7543536,unreconciled,crd_001_acc_00_2025-02-27
2025-02-27,1100,Bank,6623019,0,bank credit,crd_001_acc_01_2025-02-27
2025-02-27,2300,Unreconciled settlements,0,6623019,unreconciled,crd_001_acc_01_2025-02-27
2025-02-27,1100,Bank,6718956,0,bank credit,crd_002_acc_00_2025-02-27
2025-02-27,2300,Unreconciled settlements,0,6718956,unreconciled,crd_002_acc_00_2025-02-27
2025-02-27,1100,Bank,6026135,0,bank credit,crd_002_acc_01_2025-02-27
2025-02-27,2300,Unreconciled settlements,0,6026135,unreconciled,crd_002_acc_01_2025-02-27
2025-02-27,1100,Bank,6351844,0,bank credit,crd_003_acc_00_2025-02-27
2025-02-27,2300,Unreconciled settlements,0,6351844,unreconciled,crd_003_acc_00_2025-02-27
2025-02-27,1100,Bank,6281454,0,bank credit,crd_003_acc_01_2025-02-27
2025-02-27,2300,Unreconciled settlements,0,6281454,unreconciled,crd_003_acc_01_2025-02-27
2025-02-28,1100,Bank,7280886,0,bank credit,crd_001_acc_00_2025-02-28
2025-02-28,2300,Unreconciled settlements,0,7280886,unreconciled,crd_001_acc_00_2025-02-28
2025-02-28,1100,Bank,5807007,0,bank credit,crd_001_acc_01_2025-02-28
2025-02-28,2300,Unreconciled settlements,0,5807007,unreconciled,crd_001_acc_01_2025-02-28
2025-02-28,1100,Bank,5203547,0,bank credit,crd_002_acc_00_2025-02-28
2025-02-28,2300,Unreconciled settlements,0,5203547,unreconciled,crd_002_acc_00_2025-02-28
2025-02-28,1100,Bank,7107002,0,bank credit,crd_002_acc_01_2025-02-28
2025-02-28,2300,Unreconciled settlements,0,7107002,unreconciled,crd_002_acc_01_2025-02-28
2025-02-28,1100,Bank,7663168,0,bank credit,crd_003_acc_00_2025-02-28
2025-02-28,2300,Unreconciled settlements,0,7663168,unreconciled,crd_003_acc_00_2025-02-28
2025-02-28,1100,Bank,5130849,0,bank credit,crd_003_acc_01_2025-02-28
2025-02-28,2300,Unreconciled settlements,0,5130849,unreconciled,crd_003_acc_01_2025-02-28
2025-03-03,1100,Bank,5847441,0,bank credit,crd_001_acc_00_2025-03-03
2025-03-03,2300,Unreconciled settlements,0,5847441,unreconciled,crd_001_acc_00_2025-03-03
2025-03-03,1100,Bank,6500773,0,bank credit,crd_001_acc_01_2025-03-03
2025-03-03,2300,Unreconciled settlements,0,6500773,unreconciled,crd_001_acc_01_2025-03-03
2025-03-03,1100,Bank,6529919,0,bank credit,crd_002_acc_00_2025-03-03
2025-03-03,2300,Unreconciled settlements,0,6529919,unreconciled,crd_002_acc_00_2025-03-03
2025-03-03,1100,Bank,6502438,0,bank credit,crd_002_acc_01_2025-03-03
2025-03-03,2300,Unreconciled settlements,0,6502438,unreconciled,crd_002_acc_01_2025-03-03
2025-03-03,1100,Bank,5039011,0,bank credit,crd_003_acc_01_2025-03-03
2025-03-03,2300,Unreconciled settlements,0,5039011,unreconciled,crd_003_acc_01_2025-03-03
2025-03-04,1100,Bank,6240461,0,bank credit,crd_001_acc_00_2025-03-04
2025-03-04,2300,Unreconciled settlements,0,6240461,unreconciled,crd_001_acc_00_2025-03-04
2025-03-04,1100,Bank,6468106,0,bank credit,crd_002_acc_00_2025-03-04
2025-03-04,2300,Unreconciled settlements,0,6468106,unreconciled,crd_002_acc_00_2025-03-04
2025-03-04,1100,Bank,6187341,0,bank credit,crd_002_acc_01_2025-03-04
2025-03-04,2300,Unreconciled settlements,0,6187341,unreconciled,crd_002_acc_01_2025-03-04
2025-03-04,1100,Bank,5071308,0,bank credit,crd_003_acc_00_2025-03-03
2025-03-04,2300,Unreconciled settlements,0,5071308,unreconciled,crd_003_acc_00_2025-03-03
2025-03-04,1100,Bank,5518647,0,bank credit,crd_003_acc_00_2025-03-04
2025-03-04,2300,Unreconciled settlements,0,5518647,unreconciled,crd_003_acc_00_2025-03-04
2025-03-04,1100,Bank,6448487,0,bank credit,crd_003_acc_01_2025-03-04
2025-03-04,2300,Unreconciled settlements,0,6448487,unreconciled,crd_003_acc_01_2025-03-04
2025-03-05,1100,Bank,6014290,0,bank credit,crd_001_acc_01_2025-03-04
2025-03-05,2300,Unreconciled settlements,0,6014290,unreconciled,crd_001_acc_01_2025-03-04
